BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE;RECALC_DATE
RTSI;MCFTR;23.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6764,39;6764,39;6764,39;6764,39;82240145601,76;0;0;2;0;RUB;;3;2439810916,0000;23.09.2024;
RTSI;MCFTR;24.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6889,35;6889,35;6889,35;6889,35;113461496980,82;0;0;2;0;RUB;;3;2468143458,0000;24.09.2024;
RTSI;MCFTR;25.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6788,96;6788,96;6788,96;6788,96;109827272627,75;0;0;2;0;RUB;;3;2619093731,0000;25.09.2024;
RTSI;MCFTR;26.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6787,86;6787,86;6787,86;6787,86;85196945380,32;0;0;2;0;RUB;;3;2355693611,0000;26.09.2024;
RTSI;MCFTR;27.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6862,1;6862,1;6862,1;6862,1;59513508934,87;0;0;2;0;RUB;;3;2106911626,0000;27.09.2024;
RTSI;MCFTR;30.09.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6862,15;6862,15;6862,15;6862,15;95737568417,04;0;0;2;0;RUB;;3;3898803779,0000;30.09.2024;
RTSI;MCFTR;01.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6758;6758;6758;6758;98224295179,5;0;0;2;0;RUB;;3;3902091437,0000;01.10.2024;
RTSI;MCFTR;02.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6644,17;6644,17;6644,17;6644,17;84560332899,84;0;0;2;0;RUB;;3;3870079181,0000;02.10.2024;
RTSI;MCFTR;03.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6681,63;6681,63;6681,63;6681,63;87671468722,59;0;0;2;0;RUB;;3;2048821926,0000;03.10.2024;
RTSI;MCFTR;04.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6735,01;6735,01;6735,01;6735,01;56319240501;0;0;2;0;RUB;;3;2528211969,0000;04.10.2024;
RTSI;MCFTR;07.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6709,12;6709,12;6709,12;6709,12;54269115201,06;0;0;2;0;RUB;;3;2103254567,0000;07.10.2024;
RTSI;MCFTR;08.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6726,6;6726,6;6726,6;6726,6;51851658333,37;0;0;2;0;RUB;;3;2423466548,0000;08.10.2024;
RTSI;MCFTR;09.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6631,17;6631,17;6631,17;6631,17;57169478963,14;0;0;2;0;RUB;;3;1527072507,0000;09.10.2024;
RTSI;MCFTR;10.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6661,88;6661,88;6661,88;6661,88;46545077193,42;0;0;2;0;RUB;;3;1085278906,0000;10.10.2024;
RTSI;MCFTR;11.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6654,47;6654,47;6654,47;6654,47;47511181067,78;0;0;2;0;RUB;;3;1064122231,0000;11.10.2024;
RTSI;MCFTR;14.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6699,98;6699,98;6699,98;6699,98;79902621806,91;0;0;2;0;RUB;;3;2159473964,0000;14.10.2024;
RTSI;MCFTR;15.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6778,33;6778,33;6778,33;6778,33;58693120361,44;0;0;2;0;RUB;;3;1617907334,0000;15.10.2024;
RTSI;MCFTR;16.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6724,38;6724,38;6724,38;6724,38;64909278303,74;0;0;2;0;RUB;;3;2546536371,0000;16.10.2024;
RTSI;MCFTR;17.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6680,32;6680,32;6680,32;6680,32;50966828617,82;0;0;2;0;RUB;;3;1211913120,0000;17.10.2024;
RTSI;MCFTR;18.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6655,26;6655,26;6655,26;6655,26;51860633640,68;0;0;2;0;RUB;;3;1270893438,0000;18.10.2024;
RTSI;MCFTR;21.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6693,5;6693,5;6693,5;6693,5;56778263660,35;0;0;2;0;RUB;;3;1342892534,0000;21.10.2024;
RTSI;MCFTR;22.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6663,22;6663,22;6663,22;6663,22;51686245338,62;0;0;2;0;RUB;;3;1637618964,0000;22.10.2024;
RTSI;MCFTR;23.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6614,22;6614,22;6614,22;6614,22;58973318264,93;0;0;2;0;RUB;;3;1700182586,0000;23.10.2024;
RTSI;MCFTR;24.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6574,29;6574,29;6574,29;6574,29;59473925689,49;0;0;2;0;RUB;;3;2862830848,0000;24.10.2024;
RTSI;MCFTR;25.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6433,88;6433,88;6433,88;6433,88;122703298567,75;0;0;2;0;RUB;;3;5183107628,0000;25.10.2024;
RTSI;MCFTR;28.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6227,59;6227,59;6227,59;6227,59;107753511272,85;0;0;2;0;RUB;;3;3155999276,0000;28.10.2024;
RTSI;MCFTR;29.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6287,08;6287,08;6287,08;6287,08;84296601420,53;0;0;2;0;RUB;;3;2715087279,0000;29.10.2024;
RTSI;MCFTR;30.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6325,1;6325,1;6325,1;6325,1;63201741080,99;0;0;2;0;RUB;;3;2039118125,0000;30.10.2024;
RTSI;MCFTR;31.10.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6191,65;6191,65;6191,65;6191,65;71471789145,84;0;0;2;0;RUB;;3;3703748480,0000;31.10.2024;
RTSI;MCFTR;01.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6226,74;6226,74;6226,74;6226,74;69804796929,25;0;0;2;0;RUB;;3;1760479114,0000;01.11.2024;
RTSI;MCFTR;02.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6274,31;6274,31;6274,31;6274,31;35242560105,29;0;0;2;0;RUB;;3;1822382160,0000;02.11.2024;
RTSI;MCFTR;05.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6327,83;6327,83;6327,83;6327,83;47706690692,71;0;0;2;0;RUB;;3;1576632637,0000;05.11.2024;
RTSI;MCFTR;06.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6439,95;6439,95;6439,95;6439,95;136880845463;0;0;2;0;RUB;;3;4312469067,0000;06.11.2024;
RTSI;MCFTR;07.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6507,09;6507,09;6507,09;6507,09;75952754512,47;0;0;2;0;RUB;;3;1609643129,0000;07.11.2024;
RTSI;MCFTR;08.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6613,33;6613,33;6613,33;6613,33;91380332226,12;0;0;2;0;RUB;;3;4253915262,0000;08.11.2024;
RTSI;MCFTR;11.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6736,07;6736,07;6736,07;6736,07;117885566768,21;0;0;2;0;RUB;;3;3814127441,0000;11.11.2024;
RTSI;MCFTR;12.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6667,02;6667,02;6667,02;6667,02;76121460720,21;0;0;2;0;RUB;;3;2287990867,0000;12.11.2024;
RTSI;MCFTR;13.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6684,51;6684,51;6684,51;6684,51;72750219157,41;0;0;2;0;RUB;;3;5987107861,0000;13.11.2024;
RTSI;MCFTR;14.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6523,64;6523,64;6523,64;6523,64;72939358165,15;0;0;2;0;RUB;;3;4490916201,0000;14.11.2024;
RTSI;MCFTR;15.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6624,59;6624,59;6624,59;6624,59;67367423375,4;0;0;2;0;RUB;;3;3559050563,0000;15.11.2024;
RTSI;MCFTR;18.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6579,99;6579,99;6579,99;6579,99;94834420304,36;0;0;2;0;RUB;;3;4246802371,0000;18.11.2024;
RTSI;MCFTR;19.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6361,7;6361,7;6361,7;6361,7;118720117088,93;0;0;2;0;RUB;;3;5330061961,0000;19.11.2024;
RTSI;MCFTR;20.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6280,39;6280,39;6280,39;6280,39;92951735017,04;0;0;2;0;RUB;;3;3083594024,0000;20.11.2024;
RTSI;MCFTR;21.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6211,97;6211,97;6211,97;6211,97;106854126928,31;0;0;2;0;RUB;;3;4933862252,0000;21.11.2024;
RTSI;MCFTR;22.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6242,08;6242,08;6242,08;6242,08;86859377531,06;0;0;2;0;RUB;;3;2067696917,0000;22.11.2024;
RTSI;MCFTR;25.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6129,25;6129,25;6129,25;6129,25;90550582870,33;0;0;2;0;RUB;;3;4239959388,0000;25.11.2024;
RTSI;MCFTR;26.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;5968,58;5968,58;5968,58;5968,58;130236296225,19;0;0;2;0;RUB;;3;5847120308,0000;26.11.2024;
RTSI;MCFTR;27.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6035,26;6035,26;6035,26;6035,26;167846867706,32;0;0;2;0;RUB;;3;6555422141,0000;27.11.2024;
RTSI;MCFTR;28.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6170,89;6170,89;6170,89;6170,89;112723609734,02;0;0;2;0;RUB;;3;3004845132,0000;28.11.2024;
RTSI;MCFTR;29.11.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6243,84;6243,84;6243,84;6243,84;106300055910,89;0;0;2;0;RUB;;3;2963882505,0000;29.11.2024;
RTSI;MCFTR;02.12.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6265,01;6265,01;6265,01;6265,01;81910300544,3;0;0;2;0;RUB;;3;1866814902,0000;02.12.2024;
RTSI;MCFTR;03.12.2024;MOEX Russia Total Return;Индекс МосБиржи полной доходности «брутто»;6150,94;6150,94;6150,94;6150,94;77669897357,02;0;0;2;0;RUB;;3;3807807229,0000;03.12.2024;
