BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE;RECALC_DATE
SNDX;IMOEX;20.10.2020;Индекс МосБиржи;Индекс МосБиржи;2803,06;2785,99;2817,73;2774,16;70200100871,6;0;0;2;13481902181373,41;RUB;4809707787,4153;3;;20.10.2020;
SNDX;IMOEX;21.10.2020;Индекс МосБиржи;Индекс МосБиржи;2786,23;2811,87;2816,9;2782,36;65964265507,3;0;0;2;13400971733707,781;RUB;4809707787,4153;3;;21.10.2020;
SNDX;IMOEX;22.10.2020;Индекс МосБиржи;Индекс МосБиржи;2803,17;2784,18;2814,12;2783,37;61193148610,4;0;0;2;13482405171041,117;RUB;4809707787,4153;3;;22.10.2020;
SNDX;IMOEX;23.10.2020;Индекс МосБиржи;Индекс МосБиржи;2816,7;2807,3;2826,53;2799,63;58028372135,3;0;0;2;13547527704718,865;RUB;4809707787,4153;3;;23.10.2020;
SNDX;IMOEX;26.10.2020;Индекс МосБиржи;Индекс МосБиржи;2785,59;2812,48;2819,05;2785,59;52620022209;0;0;2;13397887836499,066;RUB;4809707787,4153;3;;26.10.2020;
SNDX;IMOEX;27.10.2020;Индекс МосБиржи;Индекс МосБиржи;2763,03;2784,13;2790,19;2758;61439709363,35;0;0;2;13289351131337,639;RUB;4809707787,4153;3;;27.10.2020;
SNDX;IMOEX;28.10.2020;Индекс МосБиржи;Индекс МосБиржи;2693,46;2758,84;2758,84;2680,83;91471007602,15;0;0;2;12954771829289,174;RUB;4809707787,4153;3;;28.10.2020;
SNDX;IMOEX;29.10.2020;Индекс МосБиржи;Индекс МосБиржи;2709,04;2704,5;2728,97;2682,68;74274727007;0;0;2;13029709306520,393;RUB;4809707787,4153;3;;29.10.2020;
SNDX;IMOEX;30.10.2020;Индекс МосБиржи;Индекс МосБиржи;2690,59;2698,94;2706,34;2664,44;68437052454,5;0;0;2;12940964452238,307;RUB;4809707787,4153;3;;30.10.2020;
SNDX;IMOEX;02.11.2020;Индекс МосБиржи;Индекс МосБиржи;2737,54;2681,19;2743,98;2658,49;72875417363,5;0;0;2;13166789830115,883;RUB;4809707787,4153;3;;02.11.2020;
